time_stamp,distance,price,surge_multiplier,id
1543231209738,0.46,7.0,1.0,5ee0d04a-2411-4abb-980e-064a7abc422b
1543231209739,1.27,9.0,1.25,ce7ebc0e-8840-4d8b-8048-dba58737ea04
1543231209839,0.44,7.0,1.0,285ee27c-670a-4736-a496-37a3b9bc1a0e
1543231209840,3.41,13.5,1.25,4e7e9a81-df59-4c88-b304-81b9256ab9bb
1543231929848,4.49,13.5,1.0,2c7e262f-3833-4590-be84-f9b808610573
1543232109796,1.01,7.0,1.0,a6e9fd6a-a5b6-42a3-b185-24e9dfece607
1543232470528,3.45,10.5,1.0,fc743e80-1b32-44f3-baca-2819b47d0e06
1543232470551,1.27,7.0,1.0,d6160cdf-0c52-47ed-9c9e-a9d795b94569
1543232470766,3.35,11.0,1.0,9f7d95e6-8171-4c96-b6ca-fe9edec23961
1543232650024,0.42,9.0,1.25,bad629cf-14db-43e5-82ec-317b6de53e26
1543232650060,1.27,7.0,1.0,4bb90d19-5664-4b85-a80a-37cf508d1364
1543233010392,5.22,13.5,1.0,f2f25852-e8c8-4460-a522-3f402bc3eee0
1543233730181,5.2,16.5,1.0,5cf0e53c-671b-4c9b-8872-9aa1f05f27ff
1543234269716,1.02,7.0,1.0,44b10274-de8b-4d22-b08b-9f301d26311e
1543234989859,3.41,11.0,1.0,8ed611a1-7802-4d48-8a03-83172e541c03
1543234989862,1.24,7.0,1.0,3930c7de-b949-433c-b51e-f275a31b688c
1543234990166,4.52,13.5,1.0,afa86822-e85c-427f-8903-cac796d43000
1543235530650,5.3,13.5,1.0,82037d41-eea0-4f88-8f33-126c0a0772aa
1543235709757,4.55,13.5,1.0,a71a39cc-ca5f-4585-97eb-8f2ad1607b37
1543235889961,5.39,13.5,1.0,cff3151b-bf4e-4c67-af6c-35b34509bb74
1543236610042,0.46,7.0,1.0,75ed84e5-8717-4c03-ae92-dfaa5e1e1745
1543236789908,5.29,13.5,1.0,a325713e-6f28-433b-803e-30d7d524d756
1543236969701,5.32,13.5,1.0,e5aefcd7-04c6-43d3-809b-148a401c1752
1543238229713,4.56,13.5,1.0,ff198074-ea26-4cc9-a84d-52a0e527700c
1543238410189,0.45,7.0,1.0,999d9909-3ed8-4ced-b31f-e10ec9ffb9b2
1543238410347,1.0,7.0,1.0,97fe109a-9f3d-454c-97a0-d0fa2495dfbf
1543238769365,3.73,13.5,1.0,09248f9e-f049-4403-81bb-a3187f312ee0
1543239129861,3.42,11.0,1.0,72f4c406-e70f-4a5e-bd85-0ccc79f7fffd
1543239490472,1.26,7.0,1.0,f4b5a724-4a10-4101-b601-df076008869e
1543239670542,1.28,7.0,1.0,94ecd998-912a-47b6-b095-722f154fdf04
1543240030222,0.43,7.0,1.0,d2686202-4102-4eb1-b649-51615f13488b
1543240030271,1.26,9.0,1.25,d158d8be-f32f-4092-97ac-77a7400d7e3c
1543240210170,5.41,13.5,1.0,d79f20b9-3ca1-4167-9e96-e88df2374ebe
1543240390782,5.3,13.5,1.0,c292b361-9d75-4903-b21a-739ea5a9f06a
1543240390894,1.26,7.0,1.0,7b38594a-cfed-4647-a162-343ea6985ee4
1543242009767,0.44,7.0,1.0,9c2e3b58-6013-44fe-9d4e-55fc444dcbe1
1543242190895,0.43,7.0,1.0,084bde61-23bc-49a9-9a79-1fd384c749a8
1543242369818,3.4,13.5,1.0,cd42a501-0f46-4136-8ae9-c569d3c2aa97
1543242910499,4.54,13.5,1.0,47a82289-5036-4a92-a9e6-c9a32dce01e9
1543243269564,1.22,7.0,1.0,f173e095-dd29-4c26-b128-9dbe92586e96
1543243269769,0.48,9.0,1.25,29d6ad2c-a6c5-4b32-bfa9-a8dfa1704a7c
1543243452963,5.35,13.5,1.0,a4942d5e-7ea9-473f-806a-dd4b7448bb3e
1543243630383,0.44,7.0,1.0,5d479177-c9b1-447c-bb0a-29a644a10263
1543243991516,5.3,13.5,1.0,93060e58-fcc3-4d58-a627-8cee78c1d8be
1543245070080,4.43,27.5,2.0,45c16d56-c66b-49bb-8e92-ea72e23e6637
1543245250602,3.45,10.5,1.0,5637dd1f-62b2-4635-9711-4210615e9e16
1543245790048,0.46,7.0,1.0,9e5c0e2f-b495-438d-b412-3c44ce74e09b
1543245970273,3.44,10.5,1.0,8274b77f-97f3-413d-821c-c7e389a571dc
1543246149792,4.52,13.5,1.0,af7afe46-9a83-44fb-a867-bacdeba1f84a
1543246869488,1.01,7.0,1.0,365d1e2e-7d24-4967-b433-f14dbc39d2ce
1543246869488,1.26,7.0,1.0,235e922b-5728-4bf0-8faa-a6650f992817
1543247229536,0.39,7.0,1.0,ff5913dd-5f10-4c76-9b8f-d6cdd48df065
1543247410455,1.08,7.0,1.0,82af62b2-79ef-4958-a23f-12c0b5ec89d0
1543247589599,1.07,7.0,1.0,6f8cb08d-5126-467a-9088-e5f2e5e7b2cc
1543247949731,3.4,10.5,1.0,bbc57942-15e5-44cf-ab6c-a280268d633e
1543247949833,5.31,13.5,1.0,d6e65d69-e244-432e-8df4-dfa9e7e0675a
1543247950027,4.2,13.5,1.0,699d5446-6924-4e95-85e4-ab63d94f8129
1543248130223,4.6,13.5,1.0,33f19f2a-0965-4878-bb5f-57906a6e0367
1543248310024,5.24,13.5,1.0,0e41760b-661d-4dfe-90be-60404182cd99
1543248850931,1.25,9.0,1.25,fd9d3dfa-5ece-4bce-b254-b9e0cb72f3ab
1543249210022,4.52,13.5,1.0,686d9ffc-776a-46b3-8518-67d94c4f2161
1543249749842,5.17,13.5,1.0,a1c5cef1-214b-4e00-8334-03c8514619b5
1543249930014,4.59,13.5,1.0,14a76925-84ab-48cd-ad67-e5e6f9b98b01
1543250290374,1.26,11.0,1.75,2dd43fec-46a1-4f5e-aa5a-f4ff8a3698fb
1543250649574,5.35,13.5,1.0,1c9fc23e-010a-45bb-a7dd-e5d8773f1b50
1543251369656,1.27,7.0,1.0,783e61d2-790d-43d3-a19e-f6aec2baf4ef
1543251549923,0.42,10.5,1.5,808081d9-6a13-45c2-9998-bfd1976112ad
1543252089903,3.18,13.5,1.0,833d3a67-b130-4c67-aa33-6043f69c55a5
